Modelo,Accuracy,Precisión,Recall,F1-Score,AUC
Regresión Logística,0.7582626872604807,0.6553376906318082,0.2541828629372993,0.36629322942036047,0.7562231798768544
Árbol de Decisión,0.7567065381488793,0.6384120171673819,0.25286867828304294,0.3622526636225266,0.7574867620359667
Random Forest Classifier,0.7567065381488793,0.6384120171673819,0.25286867828304294,0.3622526636225266,0.7574867620359667
XGBoost Classifier,0.7843456044594124,0.6821594565606006,0.4031269807732939,0.5067729083665339,0.8018740328378895
Red Neuronal Multicapa,0.780513296945767,0.6813856109630757,0.37819564758081553,0.48641304347826086,0.8018740328378895
